"Year","Articles"
"2000","5"
"2001","6"
"2002","6"
"2003","2"
"2004","2"
"2005","26"
"2006","33"
"2007","40"
"2008","42"
"2009","58"
"2010","45"
"2011","50"
"2012","61"
"2013","64"
"2014","92"
"2015","80"
"2016","86"
"2017","93"
"2018","88"
